공모전명,주최,주관,접수기간,분야,응모대상,시상내역,조회수,포스터
2024년 농업 공공기술 혁신 아이디어 경진대회,한국농업기술진흥원,한국농업기술진흥원,24.05.10 ~ 24.06.14,아이디어·창업·네이밍,제한없음,"총 상금 1,050만원, 농촌진흥청장상 1점 / 한국농업기술진흥원장상 9점",0,https://www.all-con.co.kr/data/poster/2405/512933.jpg?v=1716170074
제3회 대학생 유네스코 인류무형문화유산 홍보 아이디어 경진대회,한국문화재재단,한국문화재재단,24.04.24 ~ 24.06.17,아이디어·창업·네이밍,"대학생, 대학원생",최우수상(1팀): 한국문화재재단 이사장상 및 상금 200만원 外,0,https://www.all-con.co.kr/data/poster/2405/512955.png?v=1716769703
제54회 대한민국공예품대전 서울예선대회,서울시,서울시,24.06.10 ~ 24.06.18,디자인·그림·웹툰,"일반인, 대학생, 대학원생",대한민국공예품대전 본선진출 및 상장,0,https://www.all-con.co.kr/data/poster/2405/512956.jpg?v=1715590280
2024 천안문화도시 아카이빙 일반영상 공모전 (출발! 비디오 팡팡 영상 공모전),천안문화도시,천안문화도시,24.06.03 ~ 24.06.28,사진·영상,대학생,대상(1명) : 진흥원장상 및 상금 300만원 外,0,https://www.all-con.co.kr/data/poster/2405/512967.png?v=1715646991
제 11회 부산여성영화제 상영작 공모전,사)부산여성사회교육원,사)부산여성사회교육원,24.05.15 ~ 24.06.30,사진·영상,제한없음,"대상(1) 3,000,000원 外",0,https://www.all-con.co.kr/data/poster/2405/512970.png?v=1715647616
2024년 경상북도 탄소중립 실천 숏폼 영상 공모전,경상북도 탄소중립지원센터,경상북도 탄소중립지원센터,24.05.20 ~ 24.06.21,사진·영상,"일반인, 기타 (경상북도민)","대상(경상북도지사상), 상금100만원(1팀) 外",0,https://www.all-con.co.kr/data/poster/2405/512971.jpg?v=1715647774
제11회 물류 논문공모전,(재)물류산업진흥재단,(재)물류산업진흥재단,24.04.22 ~ 24.07.31,문학·학술·공학,"일반인, 대학생, 대학원생, 기타 (석사 학위 이하 가능 )","최우수상(국토부장관상) 1명, 우수상(재단 이사장상) 1명 外",0,https://www.all-con.co.kr/data/poster/2405/512972.png?v=1715652167
제11회 국가승인통계 활용 디지털콘텐츠 공모전,통계청,통계청,24.05.13 ~ 24.07.14,사진·영상,제한없음,최우수상(1작품) 통계청장상 및 120만원권 상품권 外,0,https://www.all-con.co.kr/data/poster/2405/512975.png?v=1715652315
제5회 디지털 신기술 아이디어 경진대회,정보통신산업진흥원,"부산정보산업진흥원, 울산정보산업진흥원, 경남테크노파크, 한국정보통신진흥협회",24.05.08 ~ 24.06.11,아이디어·창업·네이밍,제한없음,"상장 수여 및 취업 특전, 지원금 제공",0,https://www.all-con.co.kr/data/poster/2405/512984.jpg?v=1716886302
제6회 예천국제스마트폰영화제 작품 공모전,예천군,예천국제스마트폰영화제조직위원회,24.06.10 ~ 24.07.31,사진·영상,제한없음,종합 대상 1명 1천5백만원 外,0,https://www.all-con.co.kr/data/poster/2405/512989.PNG?v=1715661427
2024년 제37회 HSAD Young Creator's Competition,HSAD,HSAD,24.07.01 ~ 24.07.12,아이디어·창업·네이밍,대학생,"상금: 1,600만원(대상 1,000만원) / 실행비 1,200만원",0,https://www.all-con.co.kr/data/poster/2405/512995.jpg?v=1715666190
나도 감독이다! 당신의 영상을 '방송' 해드립니다,한국정책방송원,한국정책방송원,24.05.14 ~ 24.12.30,사진·영상,제한없음,한국정책방송원장상,0,https://www.all-con.co.kr/data/poster/2405/512996.png?v=1715666353
제13회 글나라 백일장 대회 생각이 머무는 1박 2일,(사)한국독서문화재단,(사)한국독서문화재단,24.06.21 ~ 24.06.22,문학·학술·공학,제한없음,문화상품권,0,https://www.all-con.co.kr/data/poster/2405/513001.jpg?v=1715666885
