공모전명,포스터,주최,주관,접수기간,분야,응모대상,시상내역
2024 Hello 동구 과학캠핑으로 떠나는 과학마을축제 과학적 스릴을 만나다,/data/poster/2404/512288.jpeg?v=1713949614,대덕넷,대덕넷,24.04.24 ~ 24.05.11,,제한없음,다양한 경품 준비
2024년 서울시 2차 뉴딜일자리 기업회계 전문가 양성과정,/data/poster/2404/512289.jpg?v=1714003657,국제경영원,국제경영원,24.04.24 ~ 24.06.18,,"일반인, 기타 (서울시민)",인턴 급여 지급 外
청소년디자인제작전문그룹 내가 제작한 폰트를 유튜버들이 사용한다고?!,/data/poster/2404/512290.png?v=1714003774,시립청소년미디어센터,https://www.ssro.net/edu/edu_view.jsp?kind=edu&subjno=751,24.04.24 ~ 24.05.10,,제한없음,활동증명서 발급
초중등 화상과외 비디엘리 학부모 서포터즈 3기 모집합니다,/data/poster/2404/512291.png?v=1714004014,삼성교육원,삼성교육원,24.04.24 ~ 24.04.28,서포터즈·기자단·마케터,주부 및 영유아,(전원) 기본 활동비 5만원 지급 外
다음 항목에 오류가 있습니다.,,,,,,,
평화의 광장 판석교체 사업 대국민 아이디어 공모전,/data/poster/2404/512293.png?v=1714009987,서울올림픽기념국민체육진흥공단,서울올림픽기념국민체육진흥공단,24.04.24 ~ 24.05.10,아이디어·창업·네이밍,제한없음,상품권
2024 세계기록유산 숏폼 애니메이션 공모전,/data/poster/2404/512294.png?v=1714005607,유네스코 국제기록유산센터,유네스코 국제기록유산센터,24.09.21 ~ 24.09.30,사진·영상,"대학생, 고등학생",대상(1) 700만원 外
제32회 대전 전국 국악 경연대회,/data/poster/2404/512295.jpg?v=1714005853,(사)한국국악협회 대전광역시지회 (사)한국예술문화진흥회,(사)한국국악협회 대전광역시지회,24.05.01 ~ 24.05.30,"기타(예체능, e스포츠 등)","일반인, 대학생, 중학생, 고등학생",일반부 종합대상: 국회의장상(1명) 200만원 外
"나만의 곡, 만들어보고 싶다면?! AI로 나만의 자작곡 만들기 챌린지",/data/poster/2404/512296.png?v=1714006537,(주)오오칠팔구,(주)오오칠팔구,24.04.25 ~ 24.05.05,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생","수료증, 우수자 혜택"
2024년 연구실 안전 콘텐츠 및 우수사례 공모전,/data/poster/2404/512297.jpg?v=1714006698,과학기술정보통신부,국가연구안전관리본부,24.04.22 ~ 24.07.22,사진·영상,제한없음,"총 상금 4,220만원, 34점 시상"
한국의약품안전관리원에서 기관 캐릭터 '올슨'을 활용한 '봄날의 올슨 그리기 이벤트,/data/poster/2404/512298.png?v=1714006193,한국의약품안전관리원,한국의약품안전관리원,24.04.15 ~ 24.05.01,,,코닥 필름카메라 M38 5명
2024년 자치입법 정책아이디어 공모전,/data/poster/2404/512299.png?v=1714006247,제주특별자치도의회,,24.05.01 ~ 24.07.31,아이디어·창업·네이밍,,최우수상(1명) 100만원 外
한국전파진흥협회 2024 메타버스 아카데미 3기 추가 모집,/data/poster/2404/512300.png?v=1714010221,과학기술정보통신부,한국전파진흥협회,24.04.11 ~ 24.05.03,,제한없음,"우수프로젝트팀 장관상(과학기술정보통신부) 및 상금 수여(3,300만원 상당)"
제11회 장애인식개선 온라인 공모전,/data/poster/2404/512301.jpg?v=1714010423,파주시장애인종합복지관,파주시장애인종합복지관,24.04.01 ~ 24.04.30,아이디어·창업·네이밍,제한없음,"분야별로 각각 1등 20만원, 2등 10만원, 3등 5만원 등"
2024년 국방 공공데이터 활용 경진대회,/data/poster/2404/512302.png?v=1714035323,국방부·병무청·방위사업청,국방부·병무청·방위사업청,24.04.22 ~ 24.06.10,아이디어·창업·네이밍,제한없음,대상 : 국방부장관 상장 및 상금 150만원 外
다음 항목에 오류가 있습니다.,,,,,,,
코코뷰 서포터즈 3기 모집,/data/poster/2404/512304.png?v=1714010636,크레나,크레나,24.04.23 ~ 24.05.13,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 고등학생",자사 브랜드 제품 6종 무상 제공 / 서포터즈 종료 후 수료증 및 소정의 선물
노원청년정책네트워크 5기 모집,/data/poster/2404/512305.png?v=1714010595,노원청년정책거버넌스 센터,노원구청 청년정책과,24.04.22 ~ 24.05.09,서포터즈·기자단·마케터,기타 (청년(19~39세)),분과회의 시 회의수당 지급 / 위촉장 / 우수활동팀 구청장 감사장(예정)
부산대학교 AI대학원 2024학년도 후기 신입생 모집,/data/poster/2404/512306.jpg?v=1714021024,부산대학교 AI대학원,부산대학교 AI대학원,24.04.25 ~ 24.05.09,,제한없음,
K-웰니스 인플루언서 콘테스트,/data/poster/2404/512307.png?v=1714021228,"한국웰니스산업협회, 한국관광지원서비스업협회",K-웰니스 시리즈 마케팅 사무국,24.03.11 ~ 24.05.10,사진·영상,"일반인, 대학생, 대학원생, 고등학생, 기타 (청년)","대상(1점) 장관상, 최우수상(3점) 한국관광공사 사장상 外"
제11회 재단법인 미래와소프트웨어와 함께하는 꿈찾기 캠프,/data/poster/2404/512308.jpg?v=1714021294,미래와소프트웨어,이티에듀,24.04.19 ~ 24.05.15,체험단·모니터링·인턴십,"초등학생, 중학생",온라인 수료증
동춘 단편소설 공모,/data/poster/2404/512309.jpg?v=1714021341,문지아카데미 동춘 단편소설 공모,문지아카데미,24.04.25 ~ 24.05.30,문학·학술·공학,"일반인, 대학생, 고등학생",장원 30만원 내외
경남 청년 대중교통비 지원 사업 인스타 친구소환 이벤트!,/data/poster/2404/512310.JPG?v=1714014843,경상남도,경상남도,24.04.16 ~ 24.04.30,,,스타벅스 아메리카노(Tall) 450명
밀레니엄심포니오케스트라 서포터즈 밀리언 1기 모집,/data/poster/2404/512311.jpg?v=1714021841,(사)밀레니엄심포니오케스트라,(사)밀레니엄심포니오케스트라,24.04.24 ~ 24.05.09,서포터즈·기자단·마케터,"대학생, 대학원생","공연 티켓 제공, 연습/리허설 참관, 공연장 백스테이지 투어 外"
NEXT10 월드클래스 육성 사업 홍보 서포터즈 추가모집,/data/poster/2404/512312.jpg?v=1714021536,"부산광역시, 부산경제진흥원, 부산청년센터","부산광역시, 부산경제진흥원, 부산청년센터",24.04.25 ~ 24.05.04,서포터즈·기자단·마케터,제한없음,서포터즈 활동인증서 발급 / 상품 증정 (80% 이상 활동 시) 外
서울청년봉사단 1기 단원 모집,/data/poster/2404/512313.jpg?v=1714021644,서울특별시,(사)한국자원봉사문화,24.04.22 ~ 24.05.12,봉사활동,"일반인, 대학생, 대학원생, 기타 (만 19~39세 청년)",자원봉사 교육 진행 外
2024 경남국제개발협력센터 ODA 사업설명회,/data/poster/2404/512314.jpg?v=1714030031,"KOICA, 경남국제개발협력센터","KOICA, 경남국제개발협력센터, 경상국립대 링크사업단, 이노비즈협회 경남지회",24.04.24 ~ 24.05.07,,"기타 (경남지역 소재 기관, 기업, 대학, 스타트업, 예비창업가)",
2024 2차 KOICA WFK 해외봉사단 모집 설명회,/data/poster/2404/512315.jpg?v=1714030069,"KOICA, 경남국제개발협력센터","KOICA, 경남국제개발협력센터",24.04.18 ~ 24.05.16,,제한없음,1:N 비대면 컨설팅 제공
단계별 맞춤형 취업컨설팅 받으러 가자!,/data/poster/2404/512316.jpg?v=1714030191,대구광역시,대구상공회의소,24.04.25 ~ 24.12.20,,제한없음,취업 컨설팅 진행
온라인 화상 코딩 수업 코더랜드 서포터즈 1기 모집,/data/poster/2404/512317.png?v=1714106374,코더랜드,코더랜드,24.04.25 ~ 24.05.06,서포터즈·기자단·마케터,"일반인, 주부 및 영유아","무료 수업 2개월 제공, 유료 캠프 1회 무료 수강 티켓, 포트폴리오 제공"
2024 KOICA WFK 해외봉사단 설명회 1:N 컨설팅 5월 모집,/data/poster/2404/512318.jpg?v=1714030370,"KOICA, 경남국제개발협력센터",경남국제개발협력센터,24.04.23 ~ 24.05.15,,제한없음,
"원어민 영어 교실 6차, 5차보다 풍성해진 수업을 통해 당신의 영어 실력을 한 단계 업그레이드하세요!",/data/poster/2404/512319.jpg?v=1714031124,조인어스코리아,조인어스코리아,24.04.25 ~ 24.05.09,,"일반인, 대학생, 대학원생",
꿈을 실현하는 과학의 모험! 서구 창의과학교실와 함께해요~,/data/poster/2404/512320.jpg?v=1714031290,대전광역시 서구,대덕넷,24.04.25 ~ 24.05.25,,"초등학생, 중학생, 고등학생",
제14회 e-ICON 세계대회 (SW 앱 경진대회) 멘토 모집,/data/poster/2404/512321.png?v=1714031536,교육부,한국디지털교육협회,24.04.25 ~ 24.05.31,,"대학생, 대학원생",언어멘토 100만원 기술멘토 150만원 (상금)
[챌린지]한국건강가정진흥원 가족의재발견 <#이런가족어때요?>,/data/poster/2404/512322.jpg?v=1714029849,한국건강가정진흥원,한국건강가정진흥원,24.04.16 ~ 24.05.12,,,대상_고프로12 // 최우수상_에어팟프로2 // 우수상_아웃백 20만원권 등
데이터 분석 기반 SNS 마케터 인턴십 과정 2기 참여자 모집,/data/poster/2404/512323.png?v=1714033810,서울특별시,이노비즈협회,24.04.25 ~ 24.05.26,서포터즈·기자단·마케터,제한없음,"인턴십 월 239만원 지급, 교육비 최대 100만원 지원 外"
하나팩스 대학생 서포터즈 1기 모집,/data/poster/2404/512324.jpg?v=1714033921,(주)포스트텔링크,(주)포스트텔링크,24.04.26 ~ 24.05.17,서포터즈·기자단·마케터,"대학생, 대학원생","월별 활동비 (월 20만원), 수료증 지급 外"
공부·친목·취업을 모두 즐기는 컬러 스페이스 1기 모집,/data/poster/2404/512325.jpg?v=1714034735,케이엠컴페티션,케이엠컴페티션,24.04.03 ~ 24.05.01,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",다양한 취업 스펙 제공
제5회 아이코리아 전국 대학생 창작동화 공모전,/data/poster/2404/512326.jpg?v=1714034796,사단법인 아이코리아,사단법인 아이코리아,24.05.02 ~ 24.06.28,문학·학술·공학,대학생,대상(1명): 200만원 外
미래내일 일경험 2기 체험형 인턴 모집 공고 (미래내일 일경험xKMR),/data/poster/2404/512327.jpg?v=1714034872,고용노동부,한국경영인증원,24.04.18 ~ 24.05.06,체험단·모니터링·인턴십,제한없음,주 최대 35만원 참여수당 지급
국민과 함께 만드는 저출산 정책 공모전,/data/poster/2404/512328.jpg?v=1714090184,저출산고령사회위원회,저출산고령사회위원회,24.04.26 ~ 24.05.08,아이디어·창업·네이밍,제한없음,"300만원, 100만원, 50만원 外"
미니인턴X위어드섹터 프론트엔드 개발자 인턴 취업하고 싶은 사람 모여라,/data/poster/2404/512329.png?v=1714090359,(주)오픈놀,(주)오픈놀,24.04.25 ~ 24.05.07,,"일반인, 대학생",참여기업명의 수료증 발급 및 인턴 취업 기회
생활 속 금융 아이디어를 보여주세요 핀테크 챌린지,/data/poster/2404/512330.jpeg?v=1714114318,한국핀테크지원센터,한국핀테크지원센터,24.04.01 ~ 24.05.02,아이디어·창업·네이밍,대학생,"6팀 전원 상금(대상 150만원), 부산 핀테크허브 입주 가점 부여"
다음 항목에 오류가 있습니다.,,,,,,,
2024 식의약 데이터 분석 및 활용 경진대회,/data/poster/2404/512332.png?v=1714351218,식품의약품안전처,식품의약품안전처,24.04.15 ~ 24.05.31,아이디어·창업·네이밍,제한없음,"최우수상 1명 500만원, 우수상 2명 200만원, 장려상 4명 50만원"
2024 K-water 장학회 대학생 멘토 모집,/data/poster/2404/512333.png?v=1714454309,K-water 장학회,K-water 장학회,24.04.22 ~ 24.05.06,기타(캠프/강연 등),대학생,"활동비 지급, 활동 수료증 발급, 1365 및 VMS를 통한 봉사시간 지급"
서울시교육청과 유니세프가 함께하는 우리학교 생태전환교육 작품 공모전,/data/poster/2404/512334.jpg?v=1714090775,"서울시교육청, 유니세프 한국위원회","서울시교육청, 유니세프 한국위원회",24.04.22 ~ 24.05.05,사진·영상,"초등학생, 중학생, 고등학생","서울특별시교육감상(금, 은, 동, 장려상) 및 유니세프 특별상 부여"
판타지오 캐스팅 서포터즈 1기 모집,/data/poster/2404/512335.jpg?v=1714090821,판타지오,판타지오,24.04.22 ~ 24.05.15,서포터즈·기자단·마케터,"일반인, 대학생","서류전형 우대, 수료증 발급"
현직자 피드백으로 디자인 포트폴리오 레벨업을 하고 싶다면? UIUX 디자인 챌린지에 도전해보세요,/data/poster/2404/512336.png?v=1714091014,오픈놀,오픈놀,24.04.26 ~ 24.05.15,,제한없음,"10일 미션 모두 수행 시, 의지 비용 환급"
한뉴 매거진 전문 기자단 모집,/data/poster/2404/512337.jpg?v=1714091655,한국유튜버협회,한국유튜버협회,24.04.12 ~ 24.05.10,서포터즈·기자단·마케터,제한없음,"기자단 증 발급, 활동비 지급 外"
서울시 주거실태조사 데이터 활용 아이디어 기획안 공모전,/data/poster/2404/512338.jpg?v=1714092763,서울특별시,서울특별시,24.04.22 ~ 24.05.31,아이디어·창업·네이밍,제한없음,"1등 300만원 총 1,500만 원 이외 포스터 이미지 및 공식 홈페이지 참고"
2024 아이사랑 사진공모전,/data/poster/2404/512339.jpg?v=1714091884,매일신문사,매일신문사,24.04.19 ~ 24.05.15,사진·영상,,대상(1점) 상패 및 상금 300만원
신한카드 참신한글판 문안 공모전 2024년 여름,/data/poster/2404/512340.jpg?v=1714092152,신한카드,신한카드,24.04.20 ~ 24.05.06,문학·학술·공학,제한없음,대상(1명) 기프트카드 100만원 外
"한예종, 청춘나눔창작연극제 청소년극 희곡공모전 (십분발휘)",/data/poster/2404/512341.png?v=1714092368,한국예술종합학교 연극원,한국예술종합학교,24.05.03 ~ 24.05.14,문학·학술·공학,제한없음,봄짓작가상  3편 각각 상금 100만원
나주시 관광브랜드 네이밍 공모전,/data/poster/2404/512342.jpg?v=1714103881,나주시청,(주)다스디자인,24.04.29 ~ 24.05.12,아이디어·창업·네이밍,제한없음,"대상 (1명) 1,000,000원 外"
Tl퓨리 코덕 온라인 리뷰 서포터즈 씨퓨리뷰어 1기 모집,/data/poster/2404/512343.jpg?v=1714104070,아이리스브라이트,아이리스브라이트,24.04.26 ~ 24.05.03,서포터즈·기자단·마케터,제한없음,씨퓨리뷰어 수료증 지급 / 9만원 상당 씨퓨리 바디케어 라인 무료 제공 外
[이벤트] 다둥이링크 블로그 게시글 공유 이벤트,/data/poster/2404/512344.png?v=1714095541,인구보건복지협회,인구보건복지협회,24.04.26 ~ 24.05.12,,,200000
다음 항목에 오류가 있습니다.,,,,,,,
2024년 「쌍둥이부모 지원사업」 온라인 커뮤니티 1차 이벤트,/data/poster/2404/512346.png?v=1714096106,인구보건복지협회,인구보건복지협회,24.04.26 ~ 24.05.12,,,스타벅스 아메리카노 Tall 사이즈 교환권 1잔
"환경의날 기념, 송파사랑 환경사랑 축제 체험 및 홍보부스 참여모집",/data/poster/2404/512347.png?v=1714104159,송파구청,주식회사아스트,24.04.25 ~ 24.05.03,서포터즈·기자단·마케터,제한없음,홈페이지 참고
제42회 대한민국연극제 용인 서포터즈 '용사님' 모집,/data/poster/2404/512348.jpg?v=1714104426,"경기도, 용인특례시, (사)한국연극협회","(사)한국연극협회 경기도지회, 대한민국연극제 집행위원회",24.04.26 ~ 24.05.29,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","소정의 활동비 지급, 연극제 기념품 및 유니폼 지급 外"
제1기 ISTANS 대학(원)생 서포터즈 2차 모집,/data/poster/2404/512349.JPG?v=1714104573,산업연구원,산업연구원,24.04.26 ~ 24.05.05,서포터즈·기자단·마케터,"대학생, 대학원생",월간 활동비 지급 / 서포터즈 웰컴키트 제공 外
2024년 콘텐츠 창의인재동반사업 창의교육생(멘티) 모집 공지,/data/poster/2404/512350.jpg?v=1714104710,한국콘텐츠진흥원 / 한성대학교,한성대학교,24.04.24 ~ 24.05.07,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생","창작지원금, 멘토링 프로그램"
NH농협은행 제1기 디지털패널 모집,/data/poster/2404/512351.jpeg?v=1714104753,NH농협은행,NH농협은행,24.04.26 ~ 24.05.10,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 주부 및 영유아, 기타",설문조사 참여 시 NH포인트 실시간 지급
제12회 사랑의열매 나눔공모전,/data/poster/2404/512352.jpg?v=1714104985,"사회복지공동모금회, 교육부",,24.04.26 ~ 24.07.19,디자인·그림·웹툰,"초등학생, 중학생, 고등학생","총 상금 1,400만원"
2024년 제4회 필(必)환경 캠페인 공모전,/data/poster/2404/512353.png?v=1714105283,"필한방병원, 대전녹색구매지원센터","필한방병원, 대전녹색구매지원센터",24.04.16 ~ 24.05.31,사진·영상,"초등학생, 중학생, 주부 및 영유아","대전광역시장상, 대전광역시교육감상, 필한방병원장상 外"
2024 클래식악기 탐구생활 6월 신청자 모집,/data/poster/2404/512354.jpg?v=1714105325,서초문화재단,서초구청청,24.05.01 ~ 24.05.15,,"초등학생, 주부 및 영유아",미니 활 증정 外
2024 여름방학 필리핀 국제나눔단 단원 추가 모집,/data/poster/2404/512355.png?v=1714105479,국제청년센터,국제청년센터,24.04.26 ~ 24.05.01,서포터즈·기자단·마케터,제한없음,봉사활동시간
HP OMEN 필터 속 국가권력급 HP를 찾아라!,/data/poster/2404/512356.png?v=1714099251,HP Korea,amcasia,24.04.25 ~ 24.04.30,,,"게이밍키보드, 커피"
방축도 플로깅 참가자 모집,/data/poster/2404/512357.png?v=1714105555,국제청년센터,국제청년센터,24.04.26 ~ 24.07.24,봉사활동,제한없음,봉사시간 제공 外
한국콘텐츠진흥원 2024 콘텐츠 창의인재동반사업 교육생 모집,/data/poster/2404/512358.png?v=1714114153,한국콘텐츠진흥원,한국콘텐츠진흥원,24.04.24 ~ 24.05.07,기타(캠프/강연 등),일반인,전문가(멘토)를 통한 장기간 교육과 창작의 장 제공 外
상상비즈아카데미 2기 1차과정 - 웹툰·웹소설 교육생 모집,/data/poster/2404/512359.jpg?v=1714114290,상상비즈아카데미,서울경제진흥원,24.04.22 ~ 24.05.12,,제한없음,"무료교육, 취업연계 外"
유스로 기획단 모집,/data/poster/2404/512360.jpg?v=1715819280,시립금천청소년센터,시립금천청소년센터,24.04.26 ~ 24.05.20,서포터즈·기자단·마케터,"대학생, 중학생, 고등학생",봉사시간 100시간 및 위촉장 수여
2024년 대국민 농식품 규제혁신 공모전,/data/poster/2404/512361.JPG?v=1714105961,농림축산식품부,농림축산식품부,24.04.15 ~ 24.05.17,아이디어·창업·네이밍,제한없음,"시상금 총 1,100만원"
2024 청년주도 개선활동 청년단체 모집,/data/poster/2404/512362.jpg?v=1715315743,한국장애인재활협회,한국장애인재활협회,24.04.25 ~ 24.05.19,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 기타 (만18~34세 청년)","활동비 지원, 활동증명서 발급, 관련 전문가 코칭"
환경부 생활 속 탄소중립 실천방법!✨ 유튜브 댓글 이벤트💚,/data/poster/2404/512363.png?v=1714107683,환경부,환경부,24.04.18 ~ 24.04.28,,,모바일 커피 쿠폰 30명
50초 숏츠(Shorts) 영화제 공모 기간 연장,/data/poster/2404/512364.jpg?v=1714113086,통일부,통일부,24.03.25 ~ 24.05.01,사진·영상,"초등학생, 중학생, 고등학생",장관상 및 원장상
Unilever Future Leaders’ League 로컬 한국 리그,/data/poster/2404/512365.PNG?v=1714450609,유니레버코리아,유니레버코리아,24.04.26 ~ 24.05.08,아이디어·창업·네이밍,대학생,영국 런던에서 개최되는 UFLL 글로벌 리그 참가 기회 제공 및 지원 外
2024 관악봄축제 HAPPY FESTIVAL 운영지원 자원봉사자 모집,/data/poster/2404/512366.jpg?v=1714114204,관악구,관악문화재단,24.04.16 ~ 24.05.02,봉사활동,"일반인, 대학생, 대학원생",1365자원봉사 시간 부여
마케팅/게임 분석 및 기획 전국 대학 연합 게임 동아리 PLINDI 플린디 추가 모집,/data/poster/2404/512367.png?v=1714114240,플린디,플린디,24.04.26 ~ 24.05.08,기타(캠프/강연 등),대학생,게임 업계 실무자 교육/플레이 엑스포(Play X4) 참여
ESG 경영관리 전문인력 양성 및 취업연계 과정 추가모집,/data/poster/2404/512368.jpg?v=1714113799,서울시,한국경영인증원,24.04.26 ~ 24.05.06,기타(캠프/강연 등),일반인,인턴쉽 및 정규직 연계
제94회 춘향제 알아보기! OX 퀴즈 이벤트,/data/poster/2404/512369.png?v=1714114257,한국관광공사,한국관광공사,24.04.17 ~ 24.04.30,,,남원 관광택시 4시간 코스 이용권 (10명)
다음 항목에 오류가 있습니다.,,,,,,,
더 컬쳐타임즈 기자모집,/data/poster/2404/512371.jpg?v=1714113908,더 컬쳐타임즈,더 컬쳐타임즈,24.04.26 ~ 24.12.31,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",기자 위촉증 및 활동 증명서 제공 外
조직문화 전문가 자격과정(OCEC) 모집,/data/poster/2404/512372.jpg?v=1714113941,(주)컬쳐엔진,(주)컬쳐엔진,24.04.26 ~ 24.12.31,,제한없음,40% 할인 제공
긍정의 힘 마라톤 소문내기 이벤트,/data/poster/2404/512373.png?v=1714112725,(사)한국유튜브방송협회,(사)한국유튜브방송협회,24.04.26 ~ 24.06.04,,,스타벅스 커피쿠폰(30명)
"ESG, 알지? 콘텐츠 공모전",/data/poster/2404/512374.png?v=1715583886,알지?,알지?,24.04.15 ~ 24.05.12,디자인·그림·웹툰,제한없음,대상1명(팀): 상금 100만원 外
2024 여주문화 사진 공모전 여주도자기축제,/data/poster/2404/512375.jpg?v=1714114112,여주세종문화관광재단,여주세종문화관광재단,24.05.03 ~ 24.05.24,사진·영상,제한없음,최우수상100만원 外
극지연구소 폴라이터 8기 모집,/data/poster/2404/512376.png?v=1714120192,극지연구소,극지연구소,24.04.26 ~ 24.05.03,서포터즈·기자단·마케터,제한없음,최우수 크리에이터 상금 100만원 外
대국민 안전수칙 실천 사연 공모 이벤트,/data/poster/2404/512377.jpg?v=1714114630,행정안전부,행정안전부,24.04.22 ~ 24.05.05,,,"네이버페이상품권, 스타벅스 아메리카노"
2024 코리아 헬스 & 웰니스 페스티벌 자원봉사자 모집 안내,/data/poster/2404/512378.jpg?v=1714120403,한국관광공사,한국관광공사,24.04.16 ~ 24.05.07,봉사활동,"일반인, 대학생, 대학원생","활동비 지급, 자원봉사자 대상 기념품 (티셔츠 등) 外"
다음 항목에 오류가 있습니다.,,,,,,,
Harman 세미콘 아카데미-반도체 설계(8기),/data/poster/2404/512380.png?v=1714120728,대한상공회의소 서울기술교육센터,대한상공회의소 서울기술교육센터,24.04.26 ~ 24.07.01,,"일반인, 대학생",교육비 전액 국비 지원/교육참여 수당지급 外
KOICA 청년중기봉사단 디지털분야 사전공고,/data/poster/2404/512381.jpg?v=1714121321,사단법인 코익스,사단법인 코익스,24.04.26 ~ 24.05.13,봉사활동,"일반인, 대학생, 대학원생, 기타 (청년(만 19세 ~ 34세))",봉사단원 지원
Intel 엣지 AI SW 아카데미 5기 교육생 모집,/data/poster/2404/512382.png?v=1714121461,대한상공회의소 서울기술교육센터,대한상공회의소 서울기술교육센터,24.04.26 ~ 24.07.19,,"일반인, 대학생, 대학원생",교육비 전액 국비 지원/현장전문가 직강 外
반크X외교부 디지털 메타버스 외교관 7기 모집,/data/poster/2404/512383.png?v=1714121599,"사이버외교사절단 반크, 대한민국 외교부",사이버외교사절단 반크,24.04.26 ~ 24.05.12,서포터즈·기자단·마케터,"대학생, 중학생, 고등학생",-참가자: 한국역사문화홍보 활동키트와 교육도서 外
임팩트 커리어 실험실 : 다양성 디지털 마케터 모집,/data/poster/2404/512384.jpg?v=1714436760,"루트임팩트 임팩트닷커리어, 주식회사 퍼센트","루트임팩트 임팩트닷커리어, 주식회사 퍼센트",24.04.26 ~ 24.04.29,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","참여비 무료, 수료증 발급"
서울특별시 2024 서울형 청년인턴 직무캠프 B직무(영업·광고·마케팅) 참여자 모집중,/data/poster/2404/512385.jpg?v=1715151226,서울특별시,(주)아르케,24.04.24 ~ 24.05.14,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",사전직무교육비 및 직장적응교육 전액 무료 지원 外
취업준비 올인원&올케어 프로그램 참여자 모집,/data/poster/2404/512386.png?v=1714122156,동대문구,뉴팀즈 주식회사,24.03.29 ~ 24.05.26,기타(캠프/강연 등),"일반인, 대학생, 대학원생","현직자 직무교육, 1:1 취업컨설팅, 실무 프로젝트 기회, 수료증 外"
[마감임박] 미래에셋금융서비스 TAMS 글로벌 금융인 양성과정 12기 모집,/data/poster/2404/512387.jpg?v=1716868504,미래에셋금융서비스,미래에셋금융서비스,24.05.03 ~ 24.06.04,,"일반인, 대학생, 대학원생, 기타 (초•대졸 또는 졸업예정자 (5학기 이상 수료자))","수료증 발급, 우수 수료자 표창 外"
비전공자/문과생을 위한 PM 취업 올인원 부트캠프 6기 모집,/data/poster/2404/512388.png?v=1714349121,패스트캠퍼스,패스트캠퍼스,24.04.22 ~ 24.05.19,,기타 (내일배움카드 발급 가능자),직무교육
(추가모집) 2024 청년 창업·창직 Plus UP,/data/poster/2404/512389.jpg?v=1716541627,경북대학교 창업지원단,스마트크리에이터,24.04.24 ~ 24.05.29,기타(캠프/강연 등),대학생,MVP제작 및 비즈니스 Plus UP 교육&맞춤형 멘토링 운영 등
2024 제2회 청리움 어린이 그림그리기 대회,/data/poster/2404/512390.jpg?v=1714350088,"청리움, 한컴그룹","청리움, 한컴그룹",24.05.01 ~ 24.05.14,,초등학생,"대상, 최우수상, 우수상, 장려상"
미래내일 일경험 사업 ESG 지원형 DT 직무체험 4기 모집,/data/poster/2404/512391.png?v=1714370102,"고용노동부, 대한상공회의소",아르케,24.04.26 ~ 24.05.06,,제한없음,교육비 전액 무료 등
2024 보고싶다 정선아 30초광고제,/data/poster/2404/512392.png?v=1716341638,정선군청,이엠케이미디어,24.04.29 ~ 24.05.25,사진·영상,"일반인, 대학생, 대학원생, 기타",총 1250만원 (제작지원금 포함)
한미 베스트 댄서 콘테스트,/data/poster/2404/512393.jpg?v=1714350518,경기도 평택시,평택시국제교류재단,24.04.28 ~ 24.05.08,"기타(예체능, e스포츠 등)",제한없음,상금 - 1등 : 30만원  / 2등 : 15만원  / 3등 : 10만원 (경기평택사랑상품권)
유학생과 함께 가는 DMZ 탐방 참가자 모집,/data/poster/2404/512394.jpg?v=1714350648,국제청년센터,국제청년센터,24.04.28 ~ 24.05.10,,대학생,DMZ 탐방
서로돌봄 존재클럽 은둔고립청년 발굴단 봉사자 모집,/data/poster/2404/512395.jpg?v=1714350843,국제청년센터,두더지 땅굴,24.04.28 ~ 24.05.15,봉사활동,"일반인, 대학생","봉사시간 지급, 우수자 시상"
농활+로컬트립: 갓성비 당일치기 봉사여행 해피뻐스데이 CREW모집,/data/poster/2404/512396.png?v=1714350898,MerryCrew,MerryCrew,24.04.28 ~ 24.05.08,봉사활동,"일반인, 대학생, 대학원생",봉사시간 3시간 제공
공공기관 혁신 청년옴부즈만 공공청 네트워크 추가 모집,/data/poster/2404/512397.png?v=1714350979,행정개혁시민연합,행정개혁시민연합,24.04.29 ~ 24.05.05,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 기타","참여자 전원 위촉장 발급, 일정 교육 기준 수료 시 활동 인증서 발급 外"
대구 습지 사진 공모전,/data/poster/2404/512398.jpg?v=1715150429,대구광역시 환경교육센터,,24.04.17 ~ 24.05.18,사진·영상,"일반인, 대학생, 대학원생, 기타 (대구시에 주소를 둔 시민 )",총 27편(총상금 500만원)
서울청년봉사단 1기 홍보봉사단 단원 모집,/data/poster/2404/512399.png?v=1714351100,서울특별시,(사)한국자원봉사문화,24.04.29 ~ 24.05.06,봉사활동,"일반인, 대학생, 대학원생",세부사항 참고
KOICA 청년중기봉사단 디지털분야 봉사단원 모집 사전공고,/data/poster/2404/512400.jpg?v=1715667913,KOICA,"KOICS, KEFA",24.04.29 ~ 24.05.12,봉사활동,"일반인, 대학생, 대학원생",활동비 지급 등
