공모전명,포스터,주최,주관,접수기간,분야,응모대상,시상내역
차세대혁신통신융합대학 캐릭터 공모전,/data/poster/2402/509140.jpg?v=1706762657,국민대학교 차세대혁신통신융합대학,,24.01.10 ~ 24.02.05,디자인·그림·웹툰,대학생,"대상(1) : 아이폰 15 Pro Max, 최우수상(1) : 애플워치 Ultra 外"
다음 항목에 오류가 있습니다.,,,,,,,
정읍시 쇼츠 영상 공모전,/data/poster/2402/509142.webp?v=1706763115,정읍시,정읍시,24.01.15 ~ 24.02.23,사진·영상,제한없음,총 상금 200만원
다음 항목에 오류가 있습니다.,,,,,,,
2024 유스나루청소년방송국 YNBC 청소년 국원 모집,/data/poster/2402/509144.jpg?v=1706763577,시립마포청소년센터,시립마포청소년센터,24.02.01 ~ 24.02.21,서포터즈·기자단·마케터,"중학생, 고등학생","활동확인서 발급, 활동 지원(간식, 워크숍 등), 장비 무료 대여"
(가칭)옥천군 청년이음터 명칭 공모,/data/poster/2402/509145.webp?v=1706763343,옥천군,옥천군,24.01.22 ~ 24.02.08,아이디어·창업·네이밍,제한없음,최우수(1명) : 옥천사랑상품권 50만원 및 상장 外
대전광역시 시청 고향사랑기부 이벤트,/data/poster/2402/509146.png?v=1706763797,대전광역시,대전광역시,24.02.01 ~ 24.02.20,,,"네이버페이 모바일 상품권 30,000원(30명)"
2024 대국민 혁신 아이디어 공모전,/data/poster/2402/509147.png?v=1706763898,SRT,SRT,24.01.17 ~ 24.02.15,아이디어·창업·네이밍,제한없음,"최우수상 1명(팀) : 상금 100만원, 우수상 1명(팀) : 상금 70만원 外"
제 4회 백미당 패키지 디자인 공모전,/data/poster/2402/509148.webp?v=1706764257,백미당,백미당,24.01.15 ~ 24.02.18,디자인·그림·웹툰,제한없음,1등(1명) : 상금 500만원과 백미당에서 즐길 수 있는 365일 이용권 外
LG CNS AI Genius 대학생 서포터즈 11기 모집,/data/poster/2402/509149.png?v=1706832034,LG CNS,LG CNS 대외협력팀,24.02.01 ~ 24.02.16,서포터즈·기자단·마케터,"대학생, 대학원생","소정의 활동비(혹은 봉사시간) 지급, 관련 교육 및 임직원 멘토링 제공 外"
BNK금융그룹 가슴뛰는 숏폼 공모전,/data/poster/2402/509150.jpg?v=1706766233,BNK금융그룹,BNK금융그룹,24.02.01 ~ 24.03.10,사진·영상,제한없음,대상(1팀) 5백만원 / 우수상(2팀) 각 1백만원 / 장려상(10팀) 각 30만원
2024년 학교준비반 프로그램 활동 지원 봉사자 모집,/data/poster/2402/509151.jpg?v=1706766468,은평구립우리장애인복지관 자립지원팀,자립지원팀 신현정 사회복지사,24.02.01 ~ 24.02.29,봉사활동,"일반인, 대학생, 대학원생",봉사시간 및 점심 제공
한국관광공사 대한민국 구석구석 기자단 다님 8기 모집,/data/poster/2402/509152.png?v=1706767225,한국관광공사,한국관광공사,24.02.01 ~ 24.02.28,서포터즈·기자단·마케터,제한없음,"다님 활동에 따른 활동비 지급, 우수활동자 시상 外"
제9회 <가족사랑 사진 공모전>,/data/poster/2402/509153.jpg?v=1706769428,한국효문화진흥원,한국효문화진흥원,24.02.01 ~ 24.02.29,사진·영상,"일반인, 기타 (대전시민 누구나)","대상 50만원, 최우수상 30만원, 우수상 20만원, 장려상 5만원"
[한독 모터스] BMW 2월 시승신청 이벤트 (🎁주유권+스타벅스🎁),/data/poster/2402/509154.jpg?v=1706770772,한독 모터스,한독 모터스,24.02.01 ~ 24.02.29,,,"GS 주유권 10만원 권, GS 주유권 5만원 권, 스타벅스 기프티콘 1만원 상당"
시립서울청소년센터 캠프기획단 '온기' 4기 모집,/data/poster/2402/509155.jpeg?v=1706771044,시립서울청소년센터,시립서울청소년센터,24.01.15 ~ 24.02.10,서포터즈·기자단·마케터,대학생,위촉증 및 수료증 증여 / 봉사시간 80시간 이상 부여
굿네이버스 서울인천권역본부 인성업클 4기 모집,/data/poster/2402/509156.PNG?v=1706771629,굿네이버스 서울인천권역본부,굿네이버스 서울인천권역본부,24.01.29 ~ 24.02.26,기타(캠프/강연 등),"일반인, 대학생, 대학원생","수료증 및 인증서, 인턴쉽 기회"
포스타입 나폴리탄 괴담 스토리 기획전,/data/poster/2402/509157.png?v=1706771925,포스타입,포스타입,24.02.01 ~ 24.02.29,사진·영상,제한없음,포스타입 포인트 쿠폰 지급外
[서브원]유튜브 댓글 이벤트 (GS25 모바일 상품권 5천원권 (20명)),/data/poster/2402/509158.jpg?v=1706771562,서브원,이루다마케팅,24.02.01 ~ 24.02.12,,,GS25 모바일 상품권 5천원권 (20명)
다음 항목에 오류가 있습니다.,,,,,,,
다음 항목에 오류가 있습니다.,,,,,,,
[관광e배움터] 콘텐츠 수료 이벤트_추천강좌 듣고 선물도 받고!,/data/poster/2402/509161.png?v=1706777123,한국관광공사 관광e배움터,한국관광공사 관광e배움터,24.01.22 ~ 24.02.08,,,"굽네치킨 5명, BBQ 치킨 10명, 스타벅스 100명"
weeks 52 기자단 1기 윅스 리포터즈 모집,/data/poster/2402/509162.png?v=1706832357,(주)오오칠팔구,(주)오오칠팔구,24.02.01 ~ 24.02.07,서포터즈·기자단·마케터,"대학생, 대학원생",weeks52 챌린지 무제한 이용권 外
다음 항목에 오류가 있습니다.,,,,,,,
⭐[전액국비지원] 핀테크 서비스를 위한 풀스택 개발자 양성 과정,/data/poster/2402/509164.jpg?v=1706781191,KG에듀원 IT BANK,KG에듀원 IT BANK,24.02.01 ~ 24.03.01,,,취업연계
⭐[전액국비지원] 퍼블릭 클라우드 서비스를 활용한 파이썬 기반 AI-ML 인재 양성 과정,/data/poster/2402/509165.jpg?v=1706781347,KG에듀원 IT BANK,KG에듀원 IT BANK,24.02.01 ~ 24.03.31,,,취업연
⭐[전액국비지원] 공공데이터를 활용한 데이터 분석 융합 웹 서비스 개발자 양성과정,/data/poster/2402/509166.jpg?v=1706781501,KG에듀원 IT BANK,KG에듀원 IT BANK,24.02.01 ~ 24.03.01,,,취업연
⭐[전액국비지원]  하이브리드 및 멀티클라우드 아키텍트 양성과정,/data/poster/2402/509167.jpeg?v=1706781634,KG에듀원 IT BANK,KG에듀원 IT BANK,24.02.01 ~ 24.03.08,,,취업연계
⭐[전액국비지원]  인공지능 기반 빅데이터 서비스 플랫폼 구축 전문가 양성과정,/data/poster/2402/509168.jpg?v=1706781818,KG에듀원 IT BANK,KG에듀원 IT BANK,24.03.01 ~ 24.04.05,,,취업연
⭐[전액국비지원][취업률90%][KG아이티뱅크] 퍼블릭 클라우드 서비스를 활용한 파이썬 기반 AI-ML 인재 양성 과정,/data/poster/2402/509169.png?v=1709105599,KG에듀원 IT BANK,KG에듀원 IT BANK,24.02.01 ~ 24.04.12,,,취업연
⭐[전액국비지원] 퍼블릭 클라우드 기반 인프라 보안 운영(SecOps) 엔지니어 양성 과정,/data/poster/2402/509170.jpg?v=1706782253,KG에듀원 IT BANK,KG에듀원 IT BANK,24.02.01 ~ 24.07.31,,,취업연
청년작당소 청년작가 전시지원,/data/poster/2402/509171.jpg?v=1706832538,청년작당소,청년작당소,24.02.01 ~ 24.02.15,기타(캠프/강연 등),"일반인, 대학생, 대학원생","전시지원금, 전시공간지원, 홍보지원"
청년작당소 청년커뮤니티 지원 프로그램 참여자모집,/data/poster/2402/509172.jpg?v=1706832680,청년작당소,청년작당소,24.02.01 ~ 24.02.15,기타(캠프/강연 등),"일반인, 대학생, 대학원생","커뮤니트지원금, 활동공간지원, 홍보지원"
한국대학생인재협회 39기 <진짜 나에게 맞는 직무 찾기 프로젝트> 참여자 모집,/data/poster/2402/509173.jpg?v=1706833172,한국대학생인재협회,한국대학생인재협회,24.02.01 ~ 24.02.14,기타(캠프/강연 등),제한없음,"3가지 직무 포트폴리오, 현직자 강의, 수료증"
가명정보 지원 플랫폼 회원가입 선착순 이벤트 안내,/data/poster/2402/509174.jpg?v=1706792650,개인정보보호위원회,개인정보보호위원회,24.01.31 ~ 24.02.22,,,선착순 카페라테
[이벤트 공지] 가명정보 지원 플랫폼 회원가입 인증 • 태그 이벤트,/data/poster/2402/509175.jpg?v=1706833423,개인정보보호위원회,개인정보보호위원회,24.01.31 ~ 24.02.22,,,50인 추첨
다음 항목에 오류가 있습니다.,,,,,,,
프로젝트 기획자 모집: 전략/콘텐츠 기획,/data/poster/2402/509177.PNG?v=1708474453,메리한사람들,메리한사람들,24.02.01 ~ 24.02.25,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","월별 미션(과제) 수행 & 현업 마케터의 피드백, 수료 시 활동 수료증 발급 外"
다음 항목에 오류가 있습니다.,,,,,,,
2024년 상반기 선거·정치제도 개선을 위한 논문 공모,/data/poster/2402/509179.jpg?v=1706832400,중앙선거관리위원회,중앙선거관리위원회,24.02.01 ~ 24.03.31,문학·학술·공학,"기타 (사회과학 관련 박사 학위를 취득한 자, 대학교수, 강사, 연구기관 연구원 등)",논문게재 대상자에게 원고료 100만원 지급
