대외활동명,포스터,주최,주관,접수기간,분야,응모대상,혜택
진해 꽃비누비 영상 공모전,/data/poster/2303/494455.jpg?v=1679559367,"중소벤처기업부, 창원시, 소상공인시장진흥공단, (재)창원시상권활성화재단","중소벤처기업부, 창원시, 소상공인시장진흥공단, (재)창원시상권활성화재단",23.03.24 ~ 23.04.28,사진·영상,제한없음,"전체시상금 총 4,500,000원 外"
제12회 의암 류인석 전국 휘호대회,/data/poster/2303/494456.jpg?v=1679559972,"춘천문화원, 의암류인석기념관",의암류인석선생 전국휘호대회 운영위원회,23.03.28 ~ 23.03.31,"기타(예체능, e스포츠 등)",제한없음,장원 300만원 外
2023년 증평군 정책 제안 공모전,/data/poster/2303/494457.jpg?v=1679560244,증평군,증평군,23.03.22 ~ 23.05.12,아이디어·창업·네이밍,제한없음,금상 200만원 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 발룬치어링 대학생 봉사동아리 워크숍 지원사업,/data/poster/2303/494459.gif?v=1679562108,KT&G복지재단,KT&G상상마당 부산,23.03.22 ~ 23.11.30,봉사활동,"대학생, 기타",1박 2일 동아리 단체 워크숍
[4월/강원] d·camp가 강원에서 함께 일할 스타트업 찾고 있드래유~!,/data/poster/2303/494460.png?v=1679562132,은행권청년창업재단 디캠프,은행권청년창업재단 디캠프,23.03.23 ~ 23.04.09,Not found,,-
광진구시설관리공단 PR 커뮤니케이터 모집,/data/poster/2303/494461.png?v=1679562363,광진구시설관리공단,광진구시설관리공단,23.03.15 ~ 23.04.15,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",PR 커뮤니케이터 위촉장 수여 外
2023년 구리시 제1회 정책제안 공모전,/data/poster/2303/494462.JPG?v=1679562537,구리시,구리시,23.03.21 ~ 23.04.10,아이디어·창업·네이밍,제한없음,금상 250만원 外
2023 부산시민 성주류화 정책 모니터링단 모집,/data/poster/2303/494463.png?v=1680080750,사)성평등위아,사)성평등위아,23.03.23 ~ 23.04.07,체험단·모니터링·인턴십,제한없음,지역 주민 역량 강화 및 지역 성평등 정책 환경 개선
STUDIO 룩 - 보쇼 제1회 '누가누가 잘 입나?' 패션 콘테스트,/data/poster/2303/494464.png?v=1679881753,피앤더블유에이티(주),STUDIO 룩 - 보쇼,23.03.22 ~ 23.04.04,사진·영상,"일반인, 대학생, 대학원생, 고등학생","대상(1명) - 200,000원 / 우수상(1명) - 50,000원 外"
2023 원주시 대학생 관광 서포터즈 모집,/data/poster/2303/494465.jpg?v=1679617315,원주시청 관광과,원주시청 관광과,23.02.01 ~ 23.03.31,서포터즈·기자단·마케터,대학생,"소정의 원고료 지급, 연말 우수 서포터즈 표창 등"
기후위기 적응대책 시민 제안 공모전,/data/poster/2303/494466.jpg?v=1680067043,서울특별시,서울특별시,23.03.22 ~ 23.04.21,아이디어·창업·네이밍,제한없음,"총상금 2,500만원"
인천시설공단 제2기 SNS 홍보 서포터즈 모집,/data/poster/2303/494467.png?v=1679616115,인천시설공단,인천시설공단,23.03.17 ~ 23.03.31,서포터즈·기자단·마케터,"일반인, 대학생, 기타","수료증, 활동비, 우수활동자 시상"
SNNC '共' 아이디어 공모전 '지속 가능한 환경 구현',/data/poster/2303/494468.png?v=1679617806,에스엔엔씨,에스엔엔씨,23.03.27 ~ 23.05.07,아이디어·창업·네이밍,"대학생, 대학원생",최우수 1명(팀) 300만원 상금 外
국립아시아문화전당 2023 ACC 민주·인권·평화 캐릭터 공모전,/data/poster/2303/494469.jpg?v=1679616043,국립아시아문화전당,국립아시아문화전당,23.03.13 ~ 23.04.23,디자인·그림·웹툰,제한없음,총 20작품 선정 / 총 상금 16백만원
We Make SUPERRACE 서포터즈 2기 모집,/data/poster/2303/494470.jpg?v=1679616221,슈퍼레이스,슈퍼레이스,23.03.17 ~ 23.03.31,서포터즈·기자단·마케터,대학생,2023 슈퍼레이스 주관 대회 및 행사 참여 기회 제공 外
2023년 서울과학기술대학교 전국 고교생 문예백일장,/data/poster/2303/494471.JPG?v=1679616861,서울과학기술대학교,인문사회대학 문예창작학과,23.04.17 ~ 23.04.24,문학·학술·공학,제한없음,장원 각 50만원 外
2023년 하계방학 해외봉사 지원자 모집,/data/poster/2303/494472.jpg?v=1679618050,사단법인 프렌드림/캄보프렌드,사단법인 프렌드림/캄보프렌드,23.03.24 ~ 23.09.30,봉사활동,제한없음,"봉사활동 후, 해당국가 교육청 발행 봉사인증서 발급"
강원 2024와 함께하는 2023 ISF 올림픽 무브먼트 프로젝트 공모전,/data/poster/2303/494473.jpg?v=1679617087,(재)국제스포츠전략위원회,(재)국제스포츠전략위원회,23.03.21 ~ 23.04.30,"기타(예체능, e스포츠 등)",제한없음,"1,500만원 이내 지원"
2023년 경기도미래기술학교 빅데이터 분석 전문가 1기 모집,/data/poster/2303/494474.jpg?v=1679619046,경기도일자리재단,경기도미래기술학교,23.03.23 ~ 23.04.24,기타(캠프/강연 등),"일반인, 대학생, 대학원생","훈련수당 일20,000원(1일 8시간) 지급+취업지원+무료교육"
양주시 시승격 20주년 기념 슬로건 공모전,/data/poster/2303/494475.jpg?v=1679617268,양주시,양주시,23.03.22 ~ 23.04.10,아이디어·창업·네이밍,제한없음,상장 및 상금 50만원 外
기획을 배워보는 스터디 모집,/data/poster/2303/494476.png?v=1679619294,잇기,잇기,23.03.24 ~ 23.03.30,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 고등학생",잇기 수강 할인권
남해 관광창업 육성 지원사업 참가자 모집,/data/poster/2303/494477.jpg?v=1679619127,남해관광문화재단,남해관광문화재단,23.03.20 ~ 23.04.07,아이디어·창업·네이밍,제한없음,"대상 300만원, 창업 소양 교육, 전문가 컨설팅 外"
20223 제7회 모비우스 국제 개발자 대회,/data/poster/2303/494478.jpg?v=1679619914,한국전자기술연구원(KETI),한국전자기술연구원(KETI),23.03.15 ~ 23.03.27,문학·학술·공학,제한없음,"연구자 컨설팅 지원, 개발 장비 지원"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
AI개발자 취업 GOAL까지 몰입형 GOAI CAMP,/data/poster/2303/494480.jpg?v=1679621120,경기도일자리재단,경기도일자리재단,23.03.24 ~ 23.04.24,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타","교육비 전액무료, 2,400,000원 훈련수당 지원(월 400,000원) 外"
2023 플로깅 4월 수원을 줍다 '수줍프로젝트' 참가자 모집,/data/poster/2303/494481.jpg?v=1679620565,재단법인 수원도시재단,재단법인 수원도시재단,23.03.23 ~ 23.04.13,봉사활동,"일반인, 대학생, 대학원생, 고등학생",조깅을 하며 쓰레기를 줍는 플로킹을 통한 환경과 건강
웹툰 작가 아이디어 공모전,/data/poster/2303/494482.jpg?v=1679620791,밈비,밈비,23.03.10 ~ 23.04.10,아이디어·창업·네이밍,제한없음,1등 시상금 500만원 外
조선일보 2023 alc 서포터즈 모집,/data/poster/2303/494483.png?v=1679623623,조선일보,alc,23.03.21 ~ 23.04.04,서포터즈·기자단·마케터,"대학생, 대학원생",300만원 상당의 제 14회 ALC 입장권 제공/ALC 현장 서포터즈 활동 수료증 발급 外
S-개발자(Security 개발자) 교육과정 교육생 모집,/data/poster/2303/494484.jpg?v=1679623951,과학기술정보통신부,KISIA 한국정보보호교육원,23.03.24 ~ 23.03.29,체험단·모니터링·인턴십,제한없음,"과정 中 매월 교육지원금 80만원 지급, 고성능 노트북 대여 外"
굿네이버스 단기속성 프로그램 'NGO원데이 클래스' 2기 모집,/data/poster/2303/494485.png?v=1679630691,굿네이버스 경기북부지부,굿네이버스 경기북부지부,23.03.14 ~ 23.03.28,기타(캠프/강연 등),대학생,"수료증 발급, NGO의 기본 이해, 취업도움"
4월 무료 오프라인 취업교육 프로그램 안내 영등포구청x마이온,/data/poster/2303/494486.png?v=1679624201,영등포구청 일자리정책과,영등포구청 일자리정책과,23.03.24 ~ 23.04.21,기타(캠프/강연 등),"일반인, 대학생, 대학원생","참가비 무료, 취업관리 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 CS WIND 오픈이노베이션 참가 스타트업 모집,/data/poster/2303/494490.jpg?v=1679624436,CS WIND(주),와이앤아처(주),23.03.16 ~ 23.04.13,아이디어·창업·네이밍,기타,"사업화지원금, 액셀러레이팅 프로그램 外"
제16기 저스티스 서포터스 모집,/data/poster/2303/494491.jpg?v=1680069421,법무부,법무부,23.03.27 ~ 23.04.14,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","활동 지원금(월별 활동기준 충족 시, 팀당 월 10만원) 外"
2023 한국산업단지공단 KICOX 기자단 모집,/data/poster/2303/494492.jpg?v=1679625297,한국산업단지공단,한국산업단지공단 / 캡슐미디어,23.03.24 ~ 23.04.09,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 기타","원고료, 활동수료증, 우수기자 포상"
청소년게임개발동아리 '레스트샵' 부원 모집,/data/poster/2303/494493.png?v=1679630636,시립청소년미디어센터,용산구진로직업체험지원센터,23.03.24 ~ 23.06.30,기타(캠프/강연 등),"중학생, 고등학생","게임 개발 활동 장소 및 기자재 대여, 게임 기획/프로그래밍/디자인 등 직군별 전문 멘토링"
(기간연장) 초보자도 할 수 있는 펀딩 프로그램 모집,/data/poster/2303/494494.png?v=1682667867,잇기,잇기,23.03.24 ~ 23.05.04,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 고등학생",잇기 회원 혜택 적용
'AI로 취업할 수 있을까?' 세미나,/data/poster/2303/494495.jpg?v=1679630837,모두의연구소,모두의연구소,23.03.24 ~ 23.03.30,기타(캠프/강연 등),제한없음,당일 샌드위치와 음료 제공
제2회 BASIL 지구생활 수기 공모전,/data/poster/2303/494496.jpg?v=1679631035,바질 지구생활안내서,(주)윌든,23.04.03 ~ 23.04.21,문학·학술·공학,제한없음,"대상 1명 : 상장, 상금 10만원, 시상품 外"
2023 균형발전 콘텐츠 큐레이터 모집,/data/poster/2303/494497.png?v=1679635459,국가균형발전위원회,"한국산업기술평가관리원, 한국산업기술문화재단",23.03.27 ~ 23.04.26,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 주부 및 영유아, 기타","활동비, 명함, 수료증, 우수활동자 표창 및 상금"
제19회 대한민국청소년박람회 디지털 4컷 툰 창작 공모전,/data/poster/2303/494498.png?v=1679636091,"여성가족부, 인천광역시","한국청소년활동진흥원, 인천광역시청소년활동진흥센터",23.03.23 ~ 23.04.24,디자인·그림·웹툰,"대학생, 초등학생, 중학생, 고등학생","대상 1명(100만원), 우수상 2명(각 50만원), 장려상 7명(각 10만원)"
2023 청소년 친화환경 아망 프로젝트 4기 멘토 모집,/data/poster/2303/494499.png?v=1679637814,은평구청,갈현청소년센터,23.03.24 ~ 23.03.31,서포터즈·기자단·마케터,"대학생, 대학원생, 기타","봉사시간 부여, 교육봉사 인정 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 반도체 실무인력 양성 교육생 모집,/data/poster/2303/494501.png?v=1679638462,"경기경영자총협회, 경기도인적자원개발위원회","고용노동부, 경기도",23.03.24 ~ 23.04.17,기타(캠프/강연 등),"일반인, 대학생","교육비 전액 무료, 실습 기회 제공, 고용노동부 인증 수료증 外"
3차 원어민 영어 회화 교실 참여자 접수,/data/poster/2303/494502.png?v=1679639092,조인어스코리아,조인어스코리아,23.03.24 ~ 23.03.26,기타(캠프/강연 등),"일반인, 대학생, 대학원생","원어민과의 인적교류, 영여 회화 실력 상승"
종근당건강 프로메가 서포터즈 시즌3 모집,/data/poster/2303/494503.jpg?v=1679635568,종근당건강,종근당건강,23.03.21 ~ 23.03.30,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 주부 및 영유아",1)소정의 활동비 (월별 지급) 2)매일 챙기는 혈행건강 ‘프로메가’ 제공 外
가상현실 3D 실감콘텐츠 제작자 양성과정,/data/poster/2303/494504.gif?v=1679638410,메디치교육센터,고용노동부,23.03.22 ~ 23.04.21,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타","교육비 무료, 매월 훈련장려금지원 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
"""2023 대전 0시 축제"" 캐치프레이즈 공모전",/data/poster/2303/494506.jpg?v=1679639447,대전광역시,디앤씨컴퍼니,23.03.20 ~ 23.04.02,아이디어·창업·네이밍,제한없음,"상품(갤럭시 탭, 갤럭시 버즈2 프로 등 )"
뷰티 마케터 '수이크루' 1기 모집,/data/poster/2303/494507.jpg?v=1679639585,씨엠에스랩,씨엠에스랩,23.03.24 ~ 23.03.31,서포터즈·기자단·마케터,제한없음,"영상 제작 지원금 (제주도행 티켓 및 숙소비, 제품 제공)"
미니인턴X미라이크 마케팅 직무 취업 연계형 참가자 모집,/data/poster/2303/494508.jpg?v=1679639756,미니인턴,미니인턴,23.03.24 ~ 23.04.02,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",이력서 및 자기소개서 무료 첨삭/ 우수자 채용 연계 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 서울로미디어캔버스 네이처 프로젝트,/data/poster/2303/494510.jpg?v=1679874956,서울시,서울시청,23.03.22 ~ 23.04.30,아이디어·창업·네이밍,제한없음,"각 작가별 작품(제작)창작비 백만원(1,000,000원), 홍보리플렛"
레이트X롯데홈쇼핑 첫방송 기념!! 소식 공유 이벤트✨,/data/poster/2303/494511.jpg?v=1679638326,레이트 코리아,레이트 코리아,23.03.24 ~ 23.03.27,Not found,,"22만원 상당의 프리미엄 드라이기 ""데이노바"" 증정"
캄보디아 해비타트-희망의 집짓기 2023년 여름방학 개인건축(교육) 봉사단 지원자 모집,/data/poster/2303/494512.jpg?v=1679641162,사단법인 프렌드림,사단법인 프렌드림,23.03.24 ~ 23.08.16,봉사활동,제한없음,"봉사활동 후, 캄보디아 교육청 발행 봉사인증서 발급"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 서울로미디어캔버스 기획공모 개인전 공고,/data/poster/2303/494514.jpg?v=1679874926,서울시,서울시청,23.03.22 ~ 23.04.30,아이디어·창업·네이밍,일반인,외부 전문가로 구성된 별도의 심사위원회에서 선정
2023년 은평구 마을공동체 활성화 공모사업,/data/poster/2303/494515.jpg?v=1679638829,은평구,은평구,23.03.20 ~ 23.04.07,"기타(예체능, e스포츠 등)","일반인, 대학생, 대학원생",모임별 100만원 ~ 300만원 이내 지원 外
2023년 장애인인권 프레젠테이션 대회,/data/poster/2303/494516.jpg?v=1679639080,강원도장애인종합복지관,강원도장애인종합복지관,23.03.24 ~ 23.05.24,"기타(예체능, e스포츠 등)","중학생, 고등학생",한국수력원자력(주)한강수력본부장상 및 상금 150만원 外
제2회 경산시 장애인식개선 공모전,/data/poster/2303/494517.jpg?v=1679639302,경산시장애인종합복지관,경산시장애인종합복지관,23.04.03 ~ 23.04.28,디자인·그림·웹툰,"초등학생, 중학생",대상 중등 25만원 外
2023 서울로미디어캔버스 ‘신진예술가 지원전시’ 공모,/data/poster/2303/494518.jpg?v=1679640584,서울시,서울시청,23.03.22 ~ 23.05.28,아이디어·창업·네이밍,기타,"본선진출 작가(팀) 40명(팀) 작품(제작)지원비 삼십만원(300,000원) 外"
삼성생명 SFP 직무설명회 모집,/data/poster/2303/494519.jpg?v=1679640849,삼성생명,삼성생명,23.03.24 ~ 23.03.27,기타(캠프/강연 등),"일반인, 대학생, 대학원생",직무설명회
2023년 굿네이버스 서울서부지부 아동권리모니터링단 'Good motion' 멘토 모집,/data/poster/2303/494520.jpg?v=1679641633,굿네이버스,굿네이버스 서울서부지부,23.03.24 ~ 23.03.31,체험단·모니터링·인턴십,대학생,굿네이버스 활동경력 인정 및 봉사시간 인정
빵둥이마라톤 빵빵런2023 자원봉사자 모집,/data/poster/2303/494521.jpg?v=1680155867,1986프로덕션,1986프로덕션,23.03.22 ~ 23.04.12,봉사활동,"일반인, 대학생, 대학원생",빵빵런2023 티셔츠 제공 外
2023 지음실험실 공유 프로젝트 모집,/data/poster/2303/494522.jpg?v=1679642059,용산청년지음,용산청년지음,23.03.20 ~ 23.04.05,체험단·모니터링·인턴십,제한없음,"강사료 (용산 청년지음 지급 기준), 맞춤형 교육 및 컨설팅, 수료증 발급"
서울시 뉴딜 일자리 기업교육전문가 양성 및 취업과정 참여자 모집,/data/poster/2303/494523.jpg?v=1681288814,서울시,(사)한국HRD기업협회,23.03.24 ~ 23.04.25,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생",일 2만5천원 교육수당 外
2023 영마이스 Young MICE 단 모집,/data/poster/2303/494524.png?v=1679643256,부산관광공사,부산관광공사 컨벤션뷰로,23.03.13 ~ 23.03.30,서포터즈·기자단·마케터,대학생,부산관광공사 사장상시상 및 KME참가기회제공 外
벨포레 목장 크리에이터 모집,/data/poster/2303/494525.jpg?v=1679645103,벨포레리조트,벨포레리조트,23.03.24 ~ 23.04.07,서포터즈·기자단·마케터,제한없음,"목장 무료 입장(최대 4인까지), 먹이 체험 2회 무료 外"
2023 완주군 미래비전 전략과제 아이디어 공모전,/data/poster/2303/494526.jpg?v=1679645522,완주군,완주군,23.04.03 ~ 23.06.30,아이디어·창업·네이밍,제한없음,상금 100만원 지급 外
2023년도 교육 공공데이터 학술대회,/data/poster/2303/494527.jpg?v=1679645795,교육부,교육부,23.03.24 ~ 23.04.14,문학·학술·공학,"대학생, 대학원생",소정의 연구장려금 지급
2023 옛 사진 공모전 화양연화,/data/poster/2303/494528.jpg?v=1679646003,(사)경북기록문화연구원,(사)경북기록문화연구원,23.03.24 ~ 23.07.06,사진·영상,제한없음,상장 및 상금 100만원 外
2023년 경상북도장애인체육회 서포터즈 기자단 2기 모집,/data/poster/2303/494529.png?v=1679646182,경상북도장애인체육회,경상북도장애인체육회,23.03.23 ~ 23.04.04,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 기타",활동 실적에 따른 활동비 지급 外
석관동떡볶이 서포터즈 '석떠쿠' 3기 모집,/data/poster/2303/494530.jpg?v=1679646449,석관동떡볶이,석관동떡볶이,23.03.22 ~ 23.03.28,서포터즈·기자단·마케터,제한없음,매월 미션 상품 발송 外
송파구 3월 취업든든 멘토링 적성검사와 취업진로설계(이공) 참여자 모집,/data/poster/2303/494531.png?v=1679647656,송파구,잡아이디어,23.03.24 ~ 23.03.28,기타(캠프/강연 등),제한없음,적성검사(무료)
제14기 성남시 청소년(청년) 참여위원회 모집,/data/poster/2303/494532.png?v=1679647827,분당정자청소년수련관,분당정자청소년수련관,23.03.13 ~ 23.03.29,봉사활동,"대학생, 중학생, 고등학생","성남시장 명의의 위촉장 부여, 전문교육제공(리더십,회의법 등) 外"
한국발명진흥회 창립 50주년 기념 슬로건 공모전,/data/poster/2303/494533.jpg?v=1679648076,한국발명진흥회,한국발명진흥회,23.03.23 ~ 23.04.13,아이디어·창업·네이밍,제한없음,"당선작 (1명) : 상금 1,000,000 원"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
글로벌 언어교류 앱 코리안쌤 쇼츠 공모전,/data/poster/2303/494535.jpg?v=1679893764,피플앤톡,피플앤톡,23.03.24 ~ 23.04.30,사진·영상,제한없음,"1명 아이패드10세대, 2명 폴라로이드 인스탁스 外"
시집 출판 프로젝트 온라인/오프라인 9기 모집,/data/poster/2303/494536.png?v=1679875377,글ego,글ego,23.03.08 ~ 23.03.31,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타",참가자 전원 출간된 시집 증정 & 출간된 시집으로 발생하는 인세 지급
동화책 쓰기 프로젝트 온라인/오프라인 6기 참여자 모집,/data/poster/2303/494537.png?v=1679875751,글ego,글ego,23.03.16 ~ 23.04.14,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타",참가자 전원 출간된 동화책 증정 & 출간된 동화책으로 발생하는 인세 지급
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 사상구 마을축제기획자 양성과정 참가자 모집,/data/poster/2303/494540.png?v=1679880235,사상구청,모라 도시재생지원센터,23.03.17 ~ 23.03.31,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타",모라 가을 마을축제 스태프 참여 (활동비 지급)
예술기획단체 후즈아트 8기 클래식 작곡 / 연주 단원 모집,/data/poster/2303/494541.jpeg?v=1679877170,예술기획단체후즈아트,예술기획단체후즈아트,23.03.01 ~ 23.04.15,기타(캠프/강연 등),,예술기획단체 후즈아트 명의 수료증 발급 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 충북 청년봉사단 나눔누리 봉사단 모집,/data/poster/2303/494546.jpg?v=1679878581,충청북도종합자원봉사센터,충청북도종합자원봉사센터,23.03.27 ~ 23.04.07,봉사활동,"일반인, 대학생, 대학원생","자원봉사시간 인정 (1365), 다양한 친구들과의 만남  外"
치매극복 희망메시지 공모전,/data/poster/2303/494547.jpg?v=1679875412,연수구치매안심센터,연수구치매안심센터,23.04.03 ~ 23.04.28,아이디어·창업·네이밍,제한없음,최우수상 800천원 外
원하는 일 찾고 시작하기 참여자 모집,/data/poster/2303/494548.jpg?v=1679875727,서울청년센터 성동오랑,서울청년센터 성동오랑,23.03.24 ~ 23.04.14,기타(캠프/강연 등),"일반인, 대학생, 대학원생",참가비 무료
성동구 청년정책네트워크 4기 위원 모집,/data/poster/2303/494549.jpg?v=1679875935,성동구청,성동구청,23.03.20 ~ 23.04.03,기타(캠프/강연 등),"일반인, 대학생, 대학원생","정책 제안, 행사 기획 및 참여 경험 外"
2023년 강릉 비즈니스 관광 서포터즈 3기 모집,/data/poster/2303/494550.jpg?v=1679876203,강릉관광개발공사,강릉관광개발공사,23.03.24 ~ 23.04.07,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",소정의 활동비 지급 外
다나와 유튜브 시나리오 공모전,/data/poster/2303/494551.jpg?v=1679876612,다나와,다나와,23.03.20 ~ 23.04.04,문학·학술·공학,제한없음,필립스 241E1 프리싱크 75 화이트 무결점 外
KB차차차 공식 유튜브 랜덤뽑차 Ep.6 댓글 이벤트,/data/poster/2303/494552.jpg?v=1679876795,KB차차차,KB차차차,23.03.24 ~ 23.03.30,기타(캠프/강연 등),제한없음,BBQ 황금 올리브 치킨 + 콜라 1.25L
2023 근현대건축 활용 설계 공모전,/data/poster/2303/494553.jpg?v=1679880027,문화재청,문화재청,23.05.01 ~ 23.06.19,디자인·그림·웹툰,"대학생, 대학원생",대상 1팀 : 600만원 外
ICT콤플렉스 ICT 개발자 취업 특강,/data/poster/2303/494554.png?v=1679882597,과학기술정보통신부,ICT콤플렉스,23.03.27 ~ 23.04.14,Not found,,없음
삼성생명 2030 직장인 월급관리 세미나,/data/poster/2303/494555.jpg?v=1679880874,삼성생명,삼성생명,23.03.27 ~ 23.04.20,기타(캠프/강연 등),일반인,투자 포트폴리오
컬러그램 SNS 온라인 서포터즈 ’그래미즈 6기’ 모집,/data/poster/2303/494556.jpg?v=1679879642,컬러그램,컬러그램,23.03.24 ~ 23.03.28,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",매월 리뷰용 컬러그램 제품 제공 外
고흥군 군정구호 브랜드 디자인 공모,/data/poster/2303/494557.jpg?v=1679879746,(주)파노이앤디,고흥군,23.03.23 ~ 23.04.30,디자인·그림·웹툰,제한없음,최우수상 상장 및 상금 200만원 外
탑텐버디 시즌5 모집,/data/poster/2303/494558.jpeg?v=1679879965,탑텐,탑텐,23.03.23 ~ 23.04.05,서포터즈·기자단·마케터,제한없음,월 최대 6가지의 탑텐 신상품 지원 外
2023년 국회미래연구원 '청년미래위원회' 모집,/data/poster/2303/494559.jpg?v=1679879990,국회미래연구원,국회미래연구원,23.03.27 ~ 23.04.07,기타(캠프/강연 등),대학생,위촉장 수여 및 활동 완료자 대상 수료증 발급 外
2023 청소년디자인제작전문그룹 나만의 서체제작 프로젝트,/data/poster/2303/494560.png?v=1679880614,서울시립청소년미디어센터,서울시립청소년미디어센터,23.03.20 ~ 23.04.17,기타(캠프/강연 등),"중학생, 고등학생","타이포 디자인 & 실습 진행, 서체기업과 함께 개인 서체 제작 및 배포 外"
스마트팜코리아 데이터마트 활용사례 수기 공모전,/data/poster/2303/494561.jpg?v=1679881012,농림수산식품교육문화정보원,농림수산식품교육문화정보원,23.02.27 ~ 23.03.31,문학·학술·공학,제한없음,우수 아이패드 미니 6세대 (WIFI 64GB) 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
공식 이월드 블로그 리포터 이블리 3기 모집,/data/poster/2303/494563.jpg?v=1679882506,이월드,이월드,23.03.27 ~ 23.03.31,서포터즈·기자단·마케터,제한없음,활동기간(4개월)동안 이월드 무제한 이용 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
한국경영원 인재개발원 국비지원 훈련과정 훈련생 모집,/data/poster/2303/494565.jpg?v=1679884746,한국경영원 인재개발원,한국경영원 인재개발원,23.03.27 ~ 23.04.10,기타(캠프/강연 등),제한없음,"교육비 전액 지원, 매월 최대 70만원 훈련수당 지급 外"
서울시 뉴딜 일자리 이러닝전문가 양성 및 취업과정 참여자 모집,/data/poster/2303/494566.jpg?v=1679889677,서울시,(사)한국HRD기업협회,23.03.27 ~ 23.06.15,기타(캠프/강연 등),"일반인, 대학생, 대학원생",일 2만5천원 교육수당 外
2023 미래엔 희망키움단 1기 모집,/data/poster/2303/494567.jpg?v=1679884687,희망친구 기아대책,희망친구 기아대책,23.03.27 ~ 23.04.09,봉사활동,대학생,"활동 장학금 150만원(멘토 전원), 봉사시간, 수료증 外"
제2회 아이코리아 아이그리다 공모전,/data/poster/2303/494568.jpg?v=1679890025,사단법인 아이코리아,사단법인 아이코리아,23.04.03 ~ 23.04.28,디자인·그림·웹툰,"주부 및 영유아, 기타","상금 및 상패, 단체상은 약 50만원 상당의 교재교구"
2023년 한국영재클래식 콩쿠르,/data/poster/2303/494569.png?v=1679891014,아원아트컴퍼니,아원아트컴퍼니,23.03.27 ~ 23.05.20,"기타(예체능, e스포츠 등)","초등학생, 중학생, 고등학생","전체대상(상장,트로피,장학금),대상,준대상,차상,준차상,특상,최우수상"
셀렉스 코어프로틴 락토프리 광고영상 패러디 공모전,/data/poster/2303/494570.jpg?v=1679890177,매일헬스뉴트리션 주식회사,매일헬스뉴트리션 주식회사,23.03.23 ~ 23.04.12,사진·영상,제한없음,"총상금 2,000만원  外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
한국산업인력공단 국비지원 K-move 경영정보전문가 양성과정 12기 모집,/data/poster/2303/494572.jpg?v=1679892372,한국산업인력공단,ICN Group,23.03.27 ~ 23.06.09,기타(캠프/강연 등),"일반인, 대학생, 대학원생",미국 유급 인턴십 참여
디지털정부서비스 아이디어 공모,/data/poster/2303/494573.jpg?v=1679892588,행정안전부,한국지능정보사회진흥원,23.03.23 ~ 23.04.27,아이디어·창업·네이밍,제한없음,"총 10점 및 상금 2,400만원"
