대외활동명,주최,주관,접수기간,분야,응모대상,혜택,조회수
콘티넨탈과 WISET이 함께하는 온라인 기업탐방,"WISET, 콘티넨탈","WISET, 콘티넨탈",24.05.21 ~ 24.06.16,기타(캠프/강연 등),"대학생, 대학원생",콘티넨탈 현직자와의 소그룹 멘토링,0
2024 대구국제대학생캠프 Daegu International Youth Camp 대학생 서포터즈 모집,대구광역시,(주)공감씨즈,24.05.27 ~ 24.06.12,서포터즈·기자단·마케터,대학생,"수료증 발급 및 수여, 대구 자매우호도시 학생들과 문화 교류 기회 제공 外",0
굿네이버스 기후환경대사단 2기 활동 모집 안내,굿네이버스,굿네이버스,24.05.27 ~ 24.06.24,서포터즈·기자단·마케터,제한없음,"굿네이버스 케냐 사업국 대표 활동인증서, 제로웨이스트 키트 제공",0
2024년 청년테마별 취업지원사업 지역 우수기업 탐방,대구광역시,대구상공회의소,24.05.27 ~ 24.06.19,기타(캠프/강연 등),대학생,인사담당자(현직자) 현장 질의응답,0
제1회 스스로그대로 청년 명상 노래 콘테스트,(사)스스로그대로,BBS불교방송,24.05.01 ~ 24.06.16,"기타(예체능, e스포츠 등)","일반인, 대학생, 대학원생, 기타 (개인 만19세~39세 이하(1984년~2005년생))","총 상금 3,800만원(1등 1,000만원 / 2등 2명 500만원 外)",0
2024 조선왕릉문화제 조선왕릉원정대 모집,국가유산청 궁능유적본부,국가유산진흥원,24.06.10 ~ 24.06.21,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",국가유산청 궁능유적본부장 명의 수료증 및 완보 메달 수여,0
KDT 우리FIS 아카데미 3기 모집중,우리FIS,대한상공회의소,24.05.27 ~ 24.06.23,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타",무료교육 / 우수 수료자,0
외국인 청소년 맞이 홈스테이 가정 모집,사단법인 더나은세상,사단법인 더나은세상,24.05.27 ~ 24.06.20,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 주부 및 영유아, 기타","지원금지급(기간별상이), 활동인증서",0
2024 주니어해양컨퍼런스 해양기자단 모집,부산시 교육청,부산시 교육청,24.05.08 ~ 24.06.25,서포터즈·기자단·마케터,"중학생, 고등학생, 기타 (전 연령대 청소년)",기자증 / 기자수첩 전원지급(특종기자상 1명 아이패드 증정) 外,0
2024년 e수원뉴스 청년 기자단 모집,수원특례시,홍보기획관 뉴미디어팀,24.05.28 ~ 24.06.17,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 고등학생","기자증, 활동 증명서 제공, 우수기자 2인 문화상품권 外",0
